@relation caracteristicas

@attribute cima numeric
@attribute baixo numeric
@attribute esquerda numeric
@attribute direita numeric
@attribute DES numeric
@attribute DEI numeric
@attribute DDS numeric
@attribute DDI numeric
@attribute class {A, B, C, D, E}

@data
108.0,114.0,132.0,139.0,230.0,233.0,235.0,231.0,A
149.0,145.0,160.0,179.0,322.0,297.0,285.0,317.0,A
197.0,190.0,202.0,197.0,395.0,367.0,383.0,386.0,A
99.0,97.0,147.0,134.0,230.0,226.0,237.0,228.0,A
107.0,123.0,146.0,147.0,235.0,257.0,244.0,258.0,A
94.0,93.0,115.0,131.0,210.0,216.0,202.0,203.0,A
139.0,135.0,165.0,162.0,301.0,290.0,289.0,289.0,A
117.0,103.0,134.0,147.0,236.0,210.0,233.0,251.0,A
83.0,91.0,113.0,123.0,202.0,196.0,205.0,204.0,A
103.0,107.0,118.0,133.0,230.0,217.0,222.0,236.0,A
147.0,159.0,159.0,150.0,310.0,298.0,290.0,299.0,A
97.0,82.0,113.0,118.0,201.0,196.0,192.0,209.0,A
78.0,77.0,105.0,92.0,163.0,150.0,157.0,155.0,A
110.0,97.0,124.0,139.0,227.0,213.0,227.0,211.0,A
128.0,121.0,156.0,167.0,278.0,275.0,296.0,268.0,A
80.0,79.0,100.0,90.0,184.0,183.0,179.0,171.0,A
105.0,96.0,106.0,110.0,201.0,192.0,189.0,192.0,A
98.0,90.0,108.0,117.0,203.0,215.0,200.0,204.0,A
89.0,95.0,138.0,115.0,222.0,209.0,206.0,215.0,A
84.0,80.0,110.0,104.0,169.0,187.0,166.0,170.0,A
97.0,103.0,107.0,110.0,195.0,209.0,207.0,191.0,A
82.0,77.0,114.0,113.0,194.0,199.0,193.0,193.0,A
82.0,83.0,119.0,127.0,192.0,206.0,203.0,209.0,A
80.0,64.0,101.0,93.0,167.0,156.0,162.0,157.0,A
104.0,98.0,113.0,117.0,220.0,219.0,218.0,209.0,A
78.0,79.0,79.0,91.0,155.0,152.0,165.0,154.0,A
113.0,100.0,144.0,135.0,240.0,244.0,218.0,236.0,A
115.0,112.0,126.0,119.0,215.0,223.0,224.0,221.0,A
97.0,92.0,123.0,103.0,204.0,211.0,202.0,211.0,A
120.0,131.0,119.0,114.0,221.0,242.0,224.0,245.0,A
84.0,87.0,95.0,115.0,170.0,158.0,182.0,193.0,A
110.0,103.0,125.0,146.0,223.0,225.0,243.0,249.0,A
109.0,100.0,124.0,151.0,225.0,221.0,237.0,248.0,A
94.0,99.0,143.0,148.0,222.0,206.0,215.0,230.0,A
97.0,89.0,141.0,142.0,233.0,238.0,218.0,217.0,A
122.0,132.0,178.0,188.0,304.0,278.0,287.0,308.0,A
100.0,95.0,150.0,139.0,231.0,233.0,239.0,246.0,A
100.0,111.0,132.0,145.0,230.0,207.0,226.0,222.0,A
113.0,123.0,150.0,150.0,269.0,263.0,262.0,247.0,A
114.0,111.0,155.0,140.0,238.0,241.0,227.0,249.0,A
136.0,131.0,150.0,164.0,279.0,286.0,283.0,289.0,A
122.0,99.0,146.0,153.0,234.0,233.0,250.0,255.0,A
115.0,107.0,145.0,144.0,256.0,231.0,242.0,247.0,A
128.0,123.0,139.0,156.0,265.0,243.0,255.0,266.0,A
90.0,92.0,123.0,129.0,226.0,213.0,229.0,231.0,A
89.0,102.0,148.0,140.0,228.0,231.0,239.0,230.0,A
78.0,66.0,100.0,107.0,193.0,194.0,185.0,189.0,A
118.0,107.0,126.0,131.0,229.0,234.0,228.0,236.0,A
114.0,115.0,141.0,157.0,260.0,251.0,259.0,257.0,A
86.0,97.0,115.0,124.0,230.0,212.0,214.0,213.0,A
100.0,102.0,130.0,137.0,241.0,217.0,217.0,236.0,A
96.0,95.0,139.0,154.0,243.0,238.0,240.0,251.0,A
120.0,106.0,147.0,147.0,240.0,234.0,235.0,254.0,A
107.0,98.0,138.0,135.0,229.0,236.0,219.0,225.0,A
60.0,62.0,77.0,76.0,142.0,129.0,137.0,137.0,A
70.0,73.0,95.0,83.0,146.0,149.0,149.0,146.0,A
179.0,169.0,240.0,230.0,387.0,397.0,372.0,353.0,A
139.0,145.0,167.0,168.0,291.0,314.0,314.0,310.0,A
109.0,111.0,113.0,120.0,234.0,241.0,237.0,228.0,A
109.0,103.0,126.0,129.0,229.0,220.0,231.0,226.0,A
96.0,100.0,112.0,119.0,220.0,214.0,219.0,212.0,A
139.0,169.0,196.0,198.0,365.0,350.0,343.0,355.0,A
178.0,154.0,207.0,198.0,352.0,337.0,333.0,351.0,A
97.0,97.0,119.0,131.0,212.0,217.0,221.0,214.0,A
