@relation caracteristicas

@attribute cima numeric
@attribute baixo numeric
@attribute esquerda numeric
@attribute direita numeric
@attribute DES numeric
@attribute DEI numeric
@attribute DDS numeric
@attribute DDI numeric
@attribute class {A, B, C, D, E}

@data
219.0,197.0,195.0,197.0,399.0,396.0,395.0,409.0,B
223.0,204.0,242.0,281.0,445.0,439.0,461.0,433.0,B
208.0,184.0,202.0,222.0,414.0,397.0,411.0,407.0,B
184.0,206.0,255.0,244.0,443.0,425.0,426.0,430.0,B
222.0,222.0,235.0,221.0,417.0,436.0,424.0,440.0,B
164.0,146.0,196.0,182.0,334.0,326.0,337.0,339.0,B
228.0,242.0,263.0,256.0,471.0,467.0,448.0,474.0,B
240.0,216.0,268.0,272.0,480.0,432.0,455.0,481.0,B
169.0,175.0,203.0,219.0,344.0,339.0,354.0,357.0,B
185.0,199.0,232.0,233.0,419.0,412.0,408.0,404.0,B
197.0,197.0,221.0,232.0,427.0,383.0,431.0,422.0,B
183.0,202.0,183.0,195.0,380.0,374.0,368.0,377.0,B
183.0,185.0,201.0,228.0,402.0,386.0,399.0,426.0,B
226.0,225.0,228.0,221.0,423.0,418.0,422.0,438.0,B
192.0,172.0,201.0,213.0,389.0,384.0,382.0,393.0,B
180.0,177.0,205.0,215.0,388.0,381.0,393.0,386.0,B
170.0,159.0,185.0,187.0,339.0,322.0,322.0,328.0,B
132.0,137.0,142.0,146.0,279.0,263.0,274.0,255.0,B
163.0,144.0,155.0,155.0,295.0,294.0,297.0,293.0,B
150.0,150.0,153.0,173.0,304.0,283.0,301.0,287.0,B
157.0,144.0,173.0,181.0,309.0,303.0,322.0,311.0,B
141.0,133.0,150.0,157.0,277.0,265.0,288.0,279.0,B
157.0,148.0,196.0,194.0,345.0,318.0,320.0,339.0,B
156.0,162.0,184.0,185.0,326.0,321.0,330.0,331.0,B
133.0,129.0,178.0,169.0,296.0,284.0,293.0,270.0,B
151.0,168.0,182.0,192.0,345.0,321.0,325.0,313.0,B
140.0,156.0,158.0,149.0,302.0,273.0,313.0,309.0,B
148.0,131.0,175.0,169.0,307.0,303.0,305.0,312.0,B
153.0,153.0,157.0,174.0,317.0,303.0,313.0,310.0,B
129.0,108.0,133.0,151.0,254.0,259.0,271.0,270.0,B
208.0,211.0,225.0,241.0,440.0,405.0,451.0,451.0,B
195.0,201.0,222.0,256.0,406.0,396.0,448.0,410.0,B
197.0,169.0,185.0,213.0,392.0,360.0,383.0,414.0,B
191.0,202.0,246.0,234.0,437.0,398.0,410.0,395.0,B
162.0,150.0,222.0,221.0,398.0,373.0,384.0,370.0,B
188.0,185.0,234.0,243.0,383.0,396.0,420.0,396.0,B
222.0,204.0,269.0,283.0,462.0,426.0,466.0,455.0,B
217.0,226.0,257.0,266.0,470.0,436.0,471.0,455.0,B
248.0,224.0,289.0,309.0,508.0,477.0,502.0,508.0,B
228.0,214.0,266.0,268.0,450.0,430.0,467.0,456.0,B
206.0,204.0,247.0,265.0,444.0,425.0,453.0,452.0,B
217.0,214.0,256.0,280.0,492.0,471.0,504.0,514.0,B
190.0,201.0,250.0,250.0,421.0,398.0,439.0,427.0,B
210.0,212.0,268.0,284.0,455.0,471.0,485.0,461.0,B
183.0,184.0,198.0,205.0,356.0,361.0,367.0,353.0,B
187.0,169.0,213.0,219.0,367.0,371.0,385.0,401.0,B
153.0,156.0,194.0,205.0,339.0,321.0,336.0,368.0,B
180.0,175.0,182.0,203.0,375.0,351.0,375.0,375.0,B
236.0,234.0,238.0,269.0,452.0,425.0,501.0,480.0,B
194.0,184.0,190.0,207.0,387.0,382.0,419.0,410.0,B
251.0,241.0,274.0,296.0,498.0,494.0,510.0,498.0,B
195.0,193.0,255.0,261.0,451.0,429.0,449.0,444.0,B
191.0,180.0,211.0,235.0,398.0,374.0,400.0,384.0,B
178.0,176.0,210.0,212.0,369.0,388.0,370.0,379.0,B
156.0,155.0,177.0,190.0,321.0,317.0,328.0,331.0,B
184.0,150.0,226.0,214.0,357.0,376.0,372.0,371.0,B
184.0,160.0,209.0,223.0,370.0,345.0,356.0,395.0,B
184.0,196.0,203.0,220.0,375.0,375.0,386.0,379.0,B
202.0,185.0,217.0,229.0,393.0,401.0,400.0,408.0,B
158.0,173.0,201.0,198.0,346.0,367.0,353.0,355.0,B
149.0,146.0,175.0,162.0,297.0,303.0,283.0,304.0,B
124.0,101.0,151.0,151.0,276.0,244.0,259.0,262.0,B
