@relation caracteristicas

@attribute cima numeric
@attribute baixo numeric
@attribute esquerda numeric
@attribute direita numeric
@attribute DES numeric
@attribute DEI numeric
@attribute DDS numeric
@attribute DDI numeric
@attribute altura numeric
@attribute largura numeric
@attribute convex numeric
@attribute class {A, B, C, D, E, F, G}

@data
31.0,33.0,46.0,44.0,111.0,107.0,107.0,97.0,195,235,8264,C
68.0,71.0,81.0,86.0,220.0,216.0,217.0,209.0,211,235,4856,C
106.0,114.0,119.0,123.0,328.0,318.0,327.0,310.0,195,243,5610,C
151.0,171.0,193.0,206.0,470.0,468.0,505.0,496.0,275,507,20799,C
202.0,221.0,293.0,293.0,669.0,689.0,689.0,678.0,259,547,29337,C
250.0,260.0,361.0,359.0,816.0,855.0,854.0,837.0,219,419,20187,C
289.0,303.0,419.0,420.0,951.0,983.0,993.0,976.0,243,347,13168,C
331.0,345.0,457.0,465.0,1084.0,1114.0,1114.0,1106.0,283,315,10805,C
377.0,391.0,526.0,534.0,1236.0,1269.0,1281.0,1270.0,275,411,10784,C
400.0,432.0,584.0,575.0,1342.0,1415.0,1381.0,1404.0,235,289,24165,C
451.0,475.0,656.0,642.0,1493.0,1557.0,1541.0,1554.0,243,331,29109,C
484.0,518.0,714.0,699.0,1630.0,1698.0,1681.0,1702.0,219,379,10177,C
518.0,562.0,774.0,760.0,1765.0,1827.0,1807.0,1822.0,219,331,11337,C
558.0,595.0,839.0,823.0,1903.0,1951.0,1945.0,1947.0,211,443,21739,C
602.0,639.0,889.0,876.0,2034.0,2078.0,2072.0,2066.0,235,323,11082,C
635.0,669.0,945.0,916.0,2149.0,2196.0,2166.0,2162.0,203,291,9078,C
671.0,703.0,992.0,958.0,2255.0,2294.0,2272.0,2247.0,179,291,11182,C
692.0,734.0,1051.0,996.0,2347.0,2391.0,2355.0,2333.0,166,339,10624,C
717.0,754.0,1078.0,1023.0,2428.0,2456.0,2418.0,2391.0,155,211,8120,C
753.0,785.0,1141.0,1087.0,2546.0,2586.0,2545.0,2515.0,171,387,14196,C
807.0,837.0,1253.0,1184.0,2708.0,2756.0,2719.0,2672.0,163,419,79142,C
866.0,896.0,1344.0,1277.0,2872.0,2932.0,2891.0,2837.0,147,395,68164,C
904.0,931.0,1426.0,1353.0,3027.0,3079.0,3054.0,2998.0,179,443,16052,C
