@relation caracteristicas

@attribute cima numeric
@attribute baixo numeric
@attribute esquerda numeric
@attribute direita numeric
@attribute DES numeric
@attribute DEI numeric
@attribute DDS numeric
@attribute DDI numeric
@attribute altura numeric
@attribute largura numeric
@attribute convex numeric
@attribute class {A, B, C, D, E, F, G}

@data
28.0,24.0,50.0,51.0,108.0,110.0,103.0,110.0,171,267,12993,D
48.0,57.0,103.0,104.0,222.0,216.0,205.0,221.0,155,255,12597,D
84.0,90.0,162.0,166.0,341.0,338.0,315.0,337.0,187,283,11139,D
126.0,143.0,220.0,227.0,477.0,467.0,457.0,492.0,203,323,16119,D
175.0,193.0,278.0,287.0,631.0,613.0,594.0,634.0,211,323,16989,D
212.0,240.0,325.0,346.0,756.0,741.0,727.0,777.0,203,329,13468,D
246.0,278.0,377.0,383.0,869.0,850.0,838.0,889.0,171,275,11661,D
273.0,305.0,432.0,425.0,979.0,954.0,946.0,995.0,155,275,14120,D
311.0,347.0,492.0,487.0,1120.0,1090.0,1091.0,1135.0,203,339,14658,D
350.0,393.0,583.0,581.0,1303.0,1274.0,1282.0,1312.0,235,259,33934,D
375.0,420.0,610.0,609.0,1384.0,1350.0,1351.0,1376.0,131,179,4757,D
406.0,446.0,656.0,664.0,1486.0,1448.0,1465.0,1486.0,163,259,10790,D
434.0,472.0,697.0,710.0,1592.0,1555.0,1574.0,1589.0,139,251,13757,D
461.0,503.0,759.0,768.0,1720.0,1677.0,1689.0,1707.0,179,299,16408,D
494.0,537.0,806.0,819.0,1831.0,1785.0,1804.0,1823.0,195,299,11810,D
537.0,571.0,876.0,885.0,1981.0,1923.0,1951.0,1948.0,171,395,21335,D
593.0,624.0,954.0,964.0,2160.0,2109.0,2151.0,2139.0,227,483,19832,D
630.0,668.0,1045.0,1047.0,2333.0,2287.0,2328.0,2315.0,207,491,21876,D
694.0,742.0,1169.0,1179.0,2537.0,2512.0,2565.0,2535.0,187,515,39269,D
724.0,776.0,1225.0,1248.0,2667.0,2654.0,2701.0,2660.0,195,251,18278,D
760.0,808.0,1268.0,1289.0,2776.0,2759.0,2805.0,2761.0,147,251,9581,D
797.0,851.0,1317.0,1338.0,2895.0,2876.0,2926.0,2880.0,163,267,13242,D
836.0,893.0,1361.0,1398.0,3022.0,3000.0,3054.0,2998.0,147,251,12194,D
883.0,939.0,1413.0,1455.0,3144.0,3119.0,3181.0,3123.0,179,259,14573,D
948.0,1009.0,1493.0,1536.0,3337.0,3327.0,3393.0,3334.0,219,467,21879,D
982.0,1043.0,1544.0,1577.0,3446.0,3431.0,3484.0,3431.0,163,259,10565,D
1021.0,1076.0,1589.0,1618.0,3570.0,3554.0,3591.0,3534.0,187,283,15556,D
1067.0,1134.0,1642.0,1673.0,3705.0,3683.0,3730.0,3674.0,203,291,16944,D
1118.0,1183.0,1691.0,1717.0,3841.0,3815.0,3861.0,3803.0,163,235,15576,D
1180.0,1236.0,1773.0,1792.0,4025.0,4017.0,4056.0,4003.0,243,475,25430,D
1215.0,1264.0,1830.0,1850.0,4159.0,4145.0,4185.0,4140.0,195,387,16596,D
1256.0,1299.0,1911.0,1938.0,4332.0,4313.0,4374.0,4325.0,211,491,22783,D
1292.0,1338.0,1972.0,1998.0,4464.0,4435.0,4503.0,4455.0,163,331,14917,D
1350.0,1402.0,2062.0,2097.0,4677.0,4648.0,4700.0,4660.0,219,435,30976,D
1380.0,1434.0,2112.0,2166.0,4783.0,4754.0,4829.0,4795.0,171,387,16657,D
1420.0,1477.0,2180.0,2255.0,4925.0,4899.0,4990.0,4959.0,211,483,20675,D
1453.0,1520.0,2250.0,2316.0,5078.0,5050.0,5111.0,5078.0,195,411,14062,D
1481.0,1554.0,2299.0,2395.0,5189.0,5157.0,5249.0,5214.0,171,427,17351,D
1517.0,1584.0,2374.0,2479.0,5351.0,5311.0,5410.0,5363.0,195,475,18831,D
