@relation caracteristicas

@attribute cima numeric
@attribute baixo numeric
@attribute esquerda numeric
@attribute direita numeric
@attribute DES numeric
@attribute DEI numeric
@attribute DDS numeric
@attribute DDI numeric
@attribute class {A, B, C, D, E}

@data
126.0,118.0,144.0,138.0,243.0,230.0,216.0,237.0,C
130.0,122.0,148.0,153.0,284.0,269.0,270.0,290.0,C
134.0,122.0,159.0,166.0,289.0,296.0,283.0,273.0,C
123.0,121.0,131.0,148.0,264.0,251.0,261.0,272.0,C
103.0,111.0,143.0,133.0,236.0,242.0,238.0,226.0,C
98.0,104.0,128.0,131.0,203.0,194.0,208.0,209.0,C
136.0,144.0,178.0,174.0,287.0,293.0,306.0,286.0,C
165.0,142.0,244.0,220.0,363.0,378.0,374.0,351.0,C
69.0,70.0,78.0,75.0,156.0,142.0,136.0,133.0,C
98.0,92.0,122.0,136.0,197.0,203.0,214.0,208.0,C
76.0,80.0,120.0,110.0,212.0,210.0,205.0,216.0,C
111.0,106.0,145.0,143.0,236.0,232.0,242.0,237.0,C
100.0,106.0,117.0,124.0,206.0,194.0,198.0,218.0,C
107.0,115.0,177.0,161.0,286.0,267.0,274.0,260.0,C
186.0,170.0,219.0,212.0,381.0,379.0,414.0,389.0,C
139.0,149.0,205.0,198.0,330.0,339.0,344.0,325.0,C
153.0,159.0,216.0,201.0,338.0,359.0,340.0,326.0,C
101.0,113.0,142.0,142.0,232.0,244.0,232.0,227.0,C
106.0,98.0,139.0,124.0,219.0,224.0,219.0,218.0,C
115.0,115.0,129.0,122.0,220.0,239.0,239.0,230.0,C
110.0,115.0,137.0,135.0,247.0,235.0,240.0,238.0,C
106.0,110.0,125.0,124.0,222.0,212.0,222.0,215.0,C
180.0,189.0,222.0,214.0,394.0,380.0,403.0,411.0,C
90.0,96.0,113.0,109.0,201.0,194.0,198.0,198.0,C
97.0,93.0,111.0,102.0,202.0,203.0,192.0,177.0,C
120.0,126.0,147.0,152.0,261.0,269.0,275.0,266.0,C
106.0,115.0,149.0,136.0,247.0,236.0,249.0,249.0,C
215.0,207.0,232.0,248.0,402.0,435.0,411.0,429.0,C
110.0,123.0,163.0,161.0,274.0,285.0,268.0,282.0,C
130.0,130.0,187.0,190.0,316.0,299.0,332.0,331.0,C
116.0,112.0,160.0,169.0,257.0,265.0,259.0,263.0,C
175.0,180.0,222.0,207.0,383.0,371.0,357.0,393.0,C
98.0,108.0,129.0,152.0,221.0,222.0,242.0,251.0,C
128.0,140.0,156.0,175.0,295.0,288.0,299.0,287.0,C
125.0,115.0,172.0,131.0,265.0,280.0,240.0,249.0,C
83.0,87.0,129.0,149.0,209.0,215.0,235.0,246.0,C
126.0,122.0,158.0,154.0,289.0,273.0,279.0,278.0,C
111.0,130.0,133.0,130.0,243.0,232.0,224.0,222.0,C
111.0,106.0,142.0,143.0,239.0,236.0,245.0,243.0,C
113.0,119.0,126.0,138.0,239.0,233.0,250.0,239.0,C
97.0,102.0,157.0,153.0,270.0,252.0,261.0,238.0,C
103.0,95.0,136.0,130.0,230.0,222.0,223.0,210.0,C
112.0,105.0,138.0,146.0,241.0,226.0,245.0,242.0,C
130.0,111.0,149.0,140.0,264.0,251.0,250.0,261.0,C
95.0,98.0,130.0,114.0,222.0,209.0,191.0,206.0,C
87.0,82.0,129.0,122.0,208.0,207.0,204.0,196.0,C
102.0,102.0,136.0,134.0,238.0,216.0,221.0,237.0,C
115.0,116.0,141.0,147.0,235.0,239.0,240.0,239.0,C
113.0,108.0,151.0,144.0,249.0,244.0,253.0,248.0,C
116.0,90.0,113.0,102.0,207.0,178.0,200.0,181.0,C
148.0,136.0,152.0,159.0,266.0,264.0,283.0,259.0,C
107.0,104.0,108.0,106.0,199.0,191.0,203.0,206.0,C
102.0,83.0,124.0,107.0,210.0,193.0,210.0,180.0,C
87.0,85.0,93.0,82.0,161.0,163.0,155.0,154.0,C
68.0,70.0,95.0,81.0,152.0,140.0,147.0,133.0,C
79.0,68.0,87.0,84.0,160.0,144.0,152.0,149.0,C
111.0,104.0,119.0,123.0,217.0,213.0,235.0,204.0,C
142.0,122.0,177.0,177.0,282.0,283.0,292.0,280.0,C
97.0,102.0,143.0,151.0,240.0,231.0,245.0,227.0,C
117.0,115.0,128.0,134.0,246.0,224.0,235.0,236.0,C
