@relation caracteristicas

@attribute cima numeric
@attribute baixo numeric
@attribute esquerda numeric
@attribute direita numeric
@attribute DES numeric
@attribute DEI numeric
@attribute DDS numeric
@attribute DDI numeric
@attribute altura numeric
@attribute largura numeric
@attribute convex numeric
@attribute class {A, B, C, D, E, F, G}

@data
39.0,45.0,52.0,47.0,124.0,120.0,131.0,137.0,187,291,12491,E
86.0,84.0,115.0,106.0,268.0,261.0,275.0,277.0,203,331,13512,E
142.0,143.0,175.0,163.0,427.0,417.0,428.0,434.0,235,339,17975,E
184.0,180.0,244.0,227.0,577.0,563.0,564.0,578.0,211,331,14864,E
227.0,226.0,325.0,289.0,735.0,726.0,713.0,736.0,227,355,16050,E
271.0,267.0,366.0,340.0,862.0,848.0,841.0,876.0,195,291,17322,E
316.0,316.0,403.0,400.0,1008.0,988.0,998.0,1035.0,219,339,14239,E
348.0,347.0,452.0,460.0,1131.0,1112.0,1134.0,1179.0,187,331,11539,E
395.0,401.0,505.0,526.0,1276.0,1249.0,1278.0,1337.0,195,323,16087,E
450.0,456.0,560.0,581.0,1425.0,1394.0,1423.0,1490.0,227,315,21206,E
478.0,490.0,610.0,631.0,1543.0,1509.0,1544.0,1615.0,172,291,11819,E
539.0,558.0,740.0,767.0,1757.0,1731.0,1753.0,1839.0,187,473,82553,E
578.0,595.0,794.0,824.0,1885.0,1851.0,1878.0,1963.0,155,323,16284,E
605.0,619.0,850.0,874.0,1989.0,1950.0,1987.0,2061.0,155,259,15592,E
652.0,655.0,935.0,958.0,2149.0,2103.0,2162.0,2235.0,171,427,22909,E
691.0,702.0,1009.0,1039.0,2308.0,2250.0,2305.0,2386.0,179,339,24493,E
719.0,734.0,1049.0,1091.0,2407.0,2355.0,2413.0,2492.0,163,251,11304,E
770.0,781.0,1106.0,1145.0,2548.0,2488.0,2558.0,2619.0,195,283,29518,E
794.0,805.0,1147.0,1191.0,2646.0,2585.0,2662.0,2730.0,155,275,9655,E
826.0,840.0,1205.0,1242.0,2755.0,2689.0,2779.0,2837.0,155,419,13701,E
853.0,883.0,1264.0,1299.0,2874.0,2819.0,2902.0,2960.0,171,331,13349,E
877.0,911.0,1323.0,1355.0,2996.0,2929.0,3021.0,3065.0,155,427,16596,E
913.0,943.0,1389.0,1421.0,3135.0,3065.0,3166.0,3191.0,163,395,24844,E
951.0,982.0,1443.0,1470.0,3249.0,3181.0,3284.0,3308.0,163,251,14128,E
992.0,1016.0,1511.0,1529.0,3385.0,3325.0,3426.0,3458.0,171,371,13191,E
1025.0,1048.0,1570.0,1595.0,3507.0,3447.0,3559.0,3583.0,163,427,15716,E
1063.0,1076.0,1607.0,1629.0,3601.0,3533.0,3649.0,3669.0,163,259,15028,E
1096.0,1104.0,1647.0,1672.0,3695.0,3629.0,3745.0,3762.0,163,267,9903,E
1130.0,1140.0,1729.0,1744.0,3841.0,3780.0,3892.0,3908.0,195,419,15640,E
1185.0,1198.0,1803.0,1806.0,4024.0,3978.0,4069.0,4104.0,187,403,27804,E
1219.0,1237.0,1870.0,1874.0,4167.0,4124.0,4217.0,4245.0,163,395,13583,E
1246.0,1266.0,1909.0,1910.0,4269.0,4230.0,4312.0,4347.0,147,267,9693,E
1271.0,1294.0,1965.0,1965.0,4377.0,4341.0,4427.0,4462.0,155,283,12809,E
