@relation caracteristicas

@attribute cima numeric
@attribute baixo numeric
@attribute esquerda numeric
@attribute direita numeric
@attribute DES numeric
@attribute DEI numeric
@attribute DDS numeric
@attribute DDI numeric
@attribute class {A, B, C, D, E}

@data
108.0,113.0,140.0,135.0,242.0,234.0,244.0,262.0,C
119.0,118.0,183.0,175.0,268.0,252.0,264.0,259.0,C
157.0,161.0,173.0,178.0,318.0,298.0,303.0,312.0,C
136.0,138.0,163.0,152.0,290.0,274.0,268.0,277.0,C
137.0,158.0,195.0,171.0,331.0,327.0,309.0,332.0,C
132.0,143.0,140.0,153.0,286.0,265.0,270.0,271.0,C
139.0,145.0,160.0,176.0,325.0,291.0,314.0,319.0,C
120.0,112.0,146.0,151.0,272.0,258.0,254.0,284.0,C
138.0,136.0,154.0,177.0,278.0,267.0,291.0,290.0,C
149.0,144.0,166.0,169.0,307.0,288.0,299.0,327.0,C
110.0,105.0,127.0,125.0,241.0,234.0,233.0,248.0,C
160.0,158.0,185.0,218.0,332.0,327.0,348.0,356.0,C
132.0,120.0,135.0,148.0,254.0,253.0,251.0,243.0,C
98.0,96.0,110.0,109.0,199.0,194.0,205.0,199.0,C
151.0,151.0,212.0,211.0,341.0,321.0,349.0,352.0,C
150.0,162.0,180.0,186.0,320.0,325.0,313.0,321.0,C
95.0,83.0,116.0,125.0,203.0,197.0,198.0,210.0,C
129.0,115.0,150.0,147.0,263.0,240.0,259.0,252.0,C
95.0,83.0,111.0,116.0,190.0,199.0,206.0,221.0,C
113.0,102.0,138.0,155.0,233.0,231.0,249.0,233.0,C
101.0,108.0,139.0,139.0,223.0,233.0,231.0,230.0,C
127.0,108.0,159.0,166.0,267.0,273.0,276.0,286.0,C
115.0,119.0,156.0,155.0,271.0,250.0,270.0,243.0,C
110.0,123.0,143.0,133.0,232.0,236.0,233.0,237.0,C
120.0,107.0,171.0,166.0,284.0,292.0,274.0,277.0,C
134.0,149.0,169.0,175.0,320.0,306.0,321.0,334.0,C
73.0,61.0,88.0,87.0,153.0,136.0,156.0,146.0,C
84.0,94.0,115.0,109.0,195.0,191.0,190.0,184.0,C
118.0,120.0,197.0,184.0,283.0,279.0,295.0,282.0,C
160.0,168.0,199.0,202.0,339.0,366.0,341.0,358.0,C
118.0,140.0,161.0,153.0,281.0,274.0,283.0,273.0,C
90.0,86.0,101.0,100.0,182.0,195.0,176.0,192.0,C
96.0,96.0,129.0,123.0,216.0,211.0,208.0,203.0,C
120.0,112.0,160.0,148.0,268.0,265.0,262.0,257.0,C
107.0,108.0,148.0,141.0,236.0,249.0,243.0,232.0,C
91.0,90.0,138.0,107.0,201.0,202.0,202.0,198.0,C
139.0,141.0,182.0,177.0,295.0,318.0,314.0,307.0,C
135.0,139.0,178.0,175.0,313.0,296.0,303.0,314.0,C
125.0,118.0,133.0,154.0,248.0,250.0,284.0,268.0,C
119.0,121.0,122.0,140.0,236.0,223.0,260.0,241.0,C
123.0,121.0,163.0,141.0,271.0,250.0,236.0,254.0,C
75.0,75.0,133.0,112.0,209.0,212.0,188.0,190.0,C
84.0,90.0,123.0,113.0,212.0,194.0,173.0,195.0,C
118.0,108.0,143.0,146.0,254.0,249.0,264.0,257.0,C
124.0,121.0,148.0,153.0,255.0,259.0,248.0,261.0,C
108.0,115.0,135.0,141.0,248.0,240.0,264.0,259.0,C
120.0,116.0,129.0,151.0,249.0,244.0,260.0,256.0,C
127.0,123.0,149.0,148.0,269.0,262.0,277.0,273.0,C
130.0,122.0,150.0,167.0,283.0,269.0,273.0,269.0,C
98.0,106.0,130.0,119.0,216.0,215.0,217.0,222.0,C
106.0,92.0,121.0,122.0,212.0,199.0,190.0,201.0,C
105.0,113.0,141.0,155.0,240.0,220.0,261.0,257.0,C
112.0,119.0,154.0,164.0,267.0,281.0,283.0,274.0,C
130.0,125.0,153.0,158.0,272.0,278.0,269.0,278.0,C
103.0,109.0,145.0,156.0,258.0,250.0,255.0,281.0,C
104.0,97.0,144.0,141.0,235.0,235.0,216.0,235.0,C
102.0,96.0,120.0,131.0,246.0,233.0,228.0,231.0,C
89.0,99.0,121.0,122.0,210.0,211.0,209.0,223.0,C
96.0,101.0,122.0,120.0,200.0,207.0,213.0,207.0,C
106.0,110.0,128.0,130.0,222.0,224.0,225.0,226.0,C
111.0,119.0,146.0,140.0,246.0,236.0,254.0,249.0,C
106.0,95.0,127.0,137.0,212.0,197.0,212.0,221.0,C
90.0,89.0,122.0,123.0,211.0,226.0,220.0,231.0,C
103.0,97.0,127.0,122.0,210.0,218.0,216.0,236.0,C
119.0,129.0,168.0,170.0,283.0,263.0,276.0,274.0,C
109.0,104.0,146.0,153.0,245.0,217.0,241.0,256.0,C
110.0,117.0,136.0,143.0,249.0,249.0,242.0,252.0,C
119.0,107.0,151.0,152.0,245.0,262.0,257.0,260.0,C
80.0,88.0,91.0,94.0,161.0,174.0,173.0,161.0,C
97.0,107.0,121.0,117.0,207.0,221.0,202.0,211.0,C
