@relation caracteristicas

@attribute cima numeric
@attribute baixo numeric
@attribute esquerda numeric
@attribute direita numeric
@attribute DES numeric
@attribute DEI numeric
@attribute DDS numeric
@attribute DDI numeric
@attribute altura numeric
@attribute largura numeric
@attribute convex numeric
@attribute class {A, B, C, D, E, F, G}

@data
77.0,62.0,75.0,77.0,192.0,188.0,187.0,191.0,291,411,30368,F
147.0,122.0,131.0,148.0,377.0,377.0,383.0,391.0,299,363,35896,F
240.0,204.0,215.0,227.0,591.0,591.0,615.0,620.0,291,417,41600,F
303.0,261.0,290.0,313.0,805.0,794.0,827.0,816.0,291,419,27706,F
388.0,348.0,389.0,414.0,1049.0,1041.0,1094.0,1085.0,339,491,36500,F
464.0,425.0,465.0,504.0,1268.0,1251.0,1317.0,1302.0,331,443,34422,F
527.0,478.0,537.0,588.0,1454.0,1425.0,1504.0,1478.0,283,411,26781,F
603.0,560.0,623.0,674.0,1672.0,1650.0,1730.0,1707.0,355,475,42253,F
699.0,633.0,687.0,744.0,1893.0,1858.0,1948.0,1913.0,371,387,45483,F
784.0,705.0,738.0,809.0,2103.0,2061.0,2159.0,2113.0,347,379,44815,F
851.0,767.0,831.0,895.0,2320.0,2271.0,2373.0,2322.0,323,467,27475,F
910.0,829.0,900.0,970.0,2493.0,2440.0,2581.0,2517.0,347,403,39736,F
982.0,908.0,969.0,1016.0,2670.0,2616.0,2743.0,2681.0,283,323,37282,F
1046.0,966.0,1033.0,1084.0,2856.0,2795.0,2923.0,2868.0,291,331,27328,F
1116.0,1022.0,1110.0,1157.0,3048.0,2983.0,3112.0,3049.0,300,395,28478,F
1172.0,1081.0,1186.0,1249.0,3245.0,3169.0,3298.0,3241.0,243,491,26478,F
1232.0,1134.0,1257.0,1336.0,3414.0,3339.0,3495.0,3429.0,219,451,30976,F
1308.0,1205.0,1318.0,1404.0,3608.0,3504.0,3688.0,3609.0,276,355,28901,F
1359.0,1267.0,1373.0,1458.0,3765.0,3657.0,3848.0,3763.0,235,283,26547,F
1424.0,1323.0,1443.0,1510.0,3936.0,3817.0,4030.0,3928.0,275,307,27042,F
1498.0,1388.0,1506.0,1579.0,4126.0,4003.0,4218.0,4119.0,267,379,28590,F
1575.0,1449.0,1577.0,1652.0,4313.0,4185.0,4406.0,4302.0,251,403,28917,F
1625.0,1500.0,1646.0,1730.0,4491.0,4345.0,4598.0,4473.0,243,379,22812,F
1691.0,1568.0,1715.0,1786.0,4667.0,4506.0,4781.0,4648.0,283,355,26035,F
1769.0,1626.0,1787.0,1873.0,4856.0,4690.0,4997.0,4841.0,275,420,30042,F
1830.0,1680.0,1827.0,1917.0,4996.0,4820.0,5128.0,4975.0,267,243,29720,F
1906.0,1749.0,1903.0,1982.0,5187.0,5002.0,5318.0,5163.0,299,307,31261,F
1985.0,1817.0,1960.0,2048.0,5379.0,5188.0,5522.0,5365.0,323,339,30469,F
2082.0,1914.0,2049.0,2137.0,5604.0,5418.0,5748.0,5610.0,283,419,37148,F
2146.0,1985.0,2100.0,2192.0,5781.0,5594.0,5916.0,5786.0,251,299,29314,F
2218.0,2055.0,2169.0,2257.0,5970.0,5768.0,6108.0,5961.0,275,323,29381,F
2288.0,2133.0,2231.0,2308.0,6155.0,5950.0,6299.0,6152.0,283,363,27678,F
2356.0,2190.0,2295.0,2379.0,6338.0,6123.0,6481.0,6327.0,275,347,28106,F
2435.0,2262.0,2363.0,2457.0,6534.0,6312.0,6695.0,6538.0,299,419,36266,F
2515.0,2343.0,2441.0,2540.0,6772.0,6536.0,6935.0,6763.0,355,419,38722,F
2593.0,2424.0,2516.0,2625.0,6991.0,6740.0,7163.0,6993.0,387,395,38006,F
2677.0,2496.0,2570.0,2687.0,7175.0,6941.0,7354.0,7186.0,371,347,37618,F
2746.0,2574.0,2620.0,2747.0,7337.0,7105.0,7540.0,7371.0,307,291,37711,F
2833.0,2646.0,2687.0,2822.0,7566.0,7321.0,7759.0,7575.0,347,403,36603,F
2894.0,2714.0,2748.0,2893.0,7749.0,7494.0,7962.0,7761.0,275,379,31533,F
2996.0,2801.0,2820.0,2977.0,7986.0,7712.0,8201.0,7988.0,371,427,38311,F
3072.0,2857.0,2876.0,3040.0,8164.0,7893.0,8379.0,8177.0,307,331,36316,F
3144.0,2945.0,2930.0,3106.0,8362.0,8083.0,8578.0,8377.0,307,371,35863,F
3225.0,3015.0,2978.0,3172.0,8549.0,8261.0,8771.0,8582.0,291,371,37537,F
3304.0,3079.0,3027.0,3239.0,8731.0,8434.0,8970.0,8771.0,299,355,38735,F
3370.0,3145.0,3075.0,3285.0,8887.0,8584.0,9142.0,8937.0,251,323,36237,F
3450.0,3219.0,3152.0,3366.0,9103.0,8788.0,9363.0,9155.0,331,419,38414,F
3529.0,3307.0,3218.0,3452.0,9306.0,8996.0,9589.0,9382.0,339,411,41047,F
3585.0,3372.0,3296.0,3535.0,9516.0,9188.0,9798.0,9591.0,307,443,33654,F
3655.0,3440.0,3377.0,3604.0,9733.0,9391.0,10004.0,9785.0,307,419,33564,F
3716.0,3495.0,3446.0,3665.0,9892.0,9564.0,10176.0,9952.0,251,363,28638,F
3786.0,3560.0,3523.0,3740.0,10085.0,9754.0,10393.0,10152.0,291,435,32086,F
3852.0,3627.0,3583.0,3805.0,10268.0,9944.0,10573.0,10336.0,283,387,34141,F
3916.0,3675.0,3632.0,3871.0,10431.0,10098.0,10729.0,10490.0,251,323,30870,F
3991.0,3753.0,3709.0,3949.0,10635.0,10292.0,10947.0,10707.0,307,379,36416,F
4073.0,3819.0,3758.0,3991.0,10804.0,10445.0,11121.0,10862.0,275,363,43429,F
4131.0,3869.0,3810.0,4039.0,10947.0,10593.0,11267.0,11012.0,227,299,38338,F
4146.0,3883.0,3876.0,4107.0,11034.0,10671.0,11343.0,11113.0,163,505,96466,F
4222.0,3948.0,3951.0,4184.0,11250.0,10882.0,11577.0,11343.0,315,467,39763,F
4300.0,4023.0,4055.0,4286.0,11484.0,11088.0,11819.0,11579.0,347,515,36891,F
4367.0,4090.0,4105.0,4366.0,11665.0,11247.0,12021.0,11772.0,291,419,35902,F
4424.0,4145.0,4173.0,4434.0,11819.0,11397.0,12194.0,11947.0,251,395,35104,F
4485.0,4201.0,4239.0,4505.0,11978.0,11552.0,12355.0,12105.0,243,395,33925,F
4545.0,4272.0,4329.0,4615.0,12192.0,11768.0,12581.0,12339.0,315,491,35375,F
4612.0,4328.0,4412.0,4689.0,12391.0,11952.0,12792.0,12547.0,291,419,35191,F
4675.0,4390.0,4492.0,4757.0,12568.0,12144.0,12965.0,12732.0,275,395,31025,F
