@relation caracteristicas

@attribute cima numeric
@attribute baixo numeric
@attribute esquerda numeric
@attribute direita numeric
@attribute DES numeric
@attribute DEI numeric
@attribute DDS numeric
@attribute DDI numeric
@attribute class {A, B, C, D, E}

@data
191.0,178.0,197.0,220.0,386.0,368.0,360.0,382.0,C
186.0,174.0,208.0,202.0,367.0,362.0,367.0,394.0,C
197.0,183.0,225.0,225.0,403.0,397.0,426.0,413.0,C
188.0,172.0,231.0,237.0,396.0,391.0,405.0,377.0,C
224.0,220.0,278.0,268.0,474.0,470.0,472.0,478.0,C
197.0,192.0,231.0,244.0,409.0,391.0,420.0,407.0,C
172.0,169.0,193.0,216.0,366.0,349.0,362.0,338.0,C
222.0,201.0,232.0,237.0,431.0,418.0,430.0,423.0,C
206.0,212.0,228.0,224.0,410.0,426.0,419.0,418.0,C
212.0,199.0,204.0,210.0,416.0,397.0,400.0,407.0,C
185.0,174.0,236.0,234.0,407.0,396.0,413.0,395.0,C
161.0,153.0,190.0,209.0,336.0,320.0,333.0,355.0,C
182.0,179.0,187.0,152.0,328.0,325.0,305.0,310.0,C
154.0,153.0,176.0,184.0,342.0,329.0,340.0,354.0,C
206.0,171.0,207.0,206.0,360.0,362.0,370.0,353.0,C
166.0,170.0,195.0,208.0,348.0,354.0,338.0,365.0,C
175.0,173.0,204.0,232.0,358.0,379.0,403.0,386.0,C
202.0,172.0,202.0,222.0,372.0,348.0,378.0,368.0,C
138.0,144.0,139.0,152.0,284.0,301.0,304.0,286.0,C
156.0,142.0,193.0,179.0,327.0,328.0,354.0,331.0,C
207.0,198.0,205.0,196.0,379.0,367.0,380.0,393.0,C
175.0,180.0,190.0,209.0,361.0,343.0,359.0,342.0,C
154.0,157.0,191.0,187.0,341.0,340.0,331.0,320.0,C
179.0,178.0,189.0,187.0,364.0,347.0,374.0,369.0,C
219.0,186.0,206.0,228.0,406.0,383.0,399.0,388.0,C
142.0,140.0,138.0,155.0,259.0,262.0,255.0,268.0,C
192.0,176.0,190.0,190.0,349.0,352.0,349.0,359.0,C
181.0,178.0,200.0,219.0,362.0,345.0,368.0,366.0,C
255.0,254.0,248.0,254.0,473.0,458.0,472.0,497.0,C
169.0,164.0,152.0,160.0,321.0,315.0,320.0,313.0,C
178.0,174.0,174.0,177.0,339.0,320.0,329.0,320.0,C
189.0,194.0,201.0,199.0,363.0,366.0,388.0,369.0,C
184.0,159.0,177.0,180.0,364.0,344.0,352.0,357.0,C
205.0,192.0,203.0,208.0,381.0,356.0,382.0,390.0,C
228.0,218.0,234.0,242.0,455.0,426.0,460.0,442.0,C
222.0,207.0,237.0,235.0,436.0,446.0,466.0,450.0,C
196.0,185.0,185.0,193.0,369.0,366.0,376.0,393.0,C
177.0,183.0,178.0,179.0,333.0,328.0,342.0,339.0,C
226.0,219.0,241.0,251.0,448.0,422.0,444.0,422.0,C
202.0,188.0,204.0,211.0,379.0,362.0,394.0,397.0,C
226.0,219.0,229.0,252.0,477.0,433.0,463.0,443.0,C
182.0,184.0,174.0,197.0,355.0,344.0,358.0,361.0,C
191.0,193.0,202.0,204.0,369.0,360.0,382.0,377.0,C
184.0,191.0,179.0,209.0,361.0,348.0,368.0,388.0,C
189.0,187.0,188.0,224.0,369.0,355.0,374.0,374.0,C
170.0,163.0,167.0,164.0,324.0,319.0,326.0,341.0,C
210.0,195.0,229.0,255.0,402.0,419.0,437.0,425.0,C
218.0,211.0,218.0,233.0,412.0,417.0,435.0,421.0,C
194.0,187.0,237.0,249.0,417.0,396.0,424.0,429.0,C
205.0,195.0,228.0,226.0,426.0,405.0,402.0,408.0,C
152.0,152.0,191.0,194.0,314.0,345.0,333.0,331.0,C
199.0,167.0,220.0,239.0,389.0,370.0,380.0,380.0,C
189.0,179.0,211.0,208.0,374.0,366.0,387.0,391.0,C
163.0,145.0,167.0,169.0,301.0,311.0,325.0,314.0,C
218.0,225.0,235.0,247.0,438.0,414.0,445.0,425.0,C
201.0,168.0,156.0,152.0,318.0,299.0,317.0,316.0,C
132.0,138.0,142.0,137.0,266.0,284.0,270.0,279.0,C
74.0,85.0,80.0,102.0,135.0,162.0,159.0,198.0,C
199.0,179.0,233.0,251.0,421.0,420.0,441.0,452.0,C
213.0,202.0,247.0,253.0,442.0,414.0,447.0,447.0,C
168.0,161.0,189.0,209.0,340.0,313.0,362.0,356.0,C
154.0,156.0,183.0,190.0,302.0,293.0,319.0,333.0,C
156.0,160.0,180.0,187.0,311.0,304.0,301.0,320.0,C
208.0,202.0,221.0,246.0,430.0,394.0,417.0,438.0,C
169.0,164.0,213.0,208.0,392.0,366.0,399.0,394.0,C
160.0,165.0,195.0,181.0,330.0,351.0,330.0,346.0,C
