@relation caracteristicas

@attribute cima numeric
@attribute baixo numeric
@attribute esquerda numeric
@attribute direita numeric
@attribute DES numeric
@attribute DEI numeric
@attribute DDS numeric
@attribute DDI numeric
@attribute altura numeric
@attribute largura numeric
@attribute convex numeric
@attribute class {A, B, C, D, E, F, G}

@data
58.0,54.0,72.0,88.0,165.0,163.0,187.0,193.0,299,411,28712,G
117.0,128.0,148.0,156.0,355.0,372.0,372.0,397.0,339,379,28564,G
187.0,193.0,204.0,219.0,541.0,534.0,536.0,566.0,339,315,20959,G
235.0,250.0,274.0,329.0,717.0,703.0,734.0,773.0,283,483,27848,G
307.0,316.0,368.0,411.0,944.0,920.0,965.0,1006.0,291,483,33859,G
346.0,365.0,438.0,475.0,1103.0,1079.0,1108.0,1161.0,275,307,20191,G
394.0,416.0,482.0,531.0,1240.0,1212.0,1228.0,1291.0,283,267,11132,G
446.0,458.0,522.0,576.0,1380.0,1343.0,1356.0,1426.0,266,267,12921,G
496.0,517.0,632.0,685.0,1595.0,1564.0,1574.0,1657.0,291,515,40378,G
543.0,567.0,711.0,768.0,1769.0,1746.0,1756.0,1845.0,291,379,25304,G
594.0,610.0,754.0,811.0,1902.0,1873.0,1873.0,1967.0,275,243,15790,G
649.0,669.0,820.0,871.0,2062.0,2028.0,2021.0,2135.0,275,348,18568,G
693.0,713.0,866.0,917.0,2182.0,2144.0,2139.0,2266.0,227,243,15683,G
737.0,760.0,917.0,970.0,2312.0,2277.0,2269.0,2401.0,235,283,21136,G
785.0,819.0,981.0,1036.0,2472.0,2423.0,2424.0,2564.0,243,331,18402,G
822.0,854.0,1059.0,1106.0,2628.0,2585.0,2575.0,2713.0,227,371,23062,G
857.0,893.0,1128.0,1180.0,2758.0,2735.0,2708.0,2874.0,227,339,20422,G
895.0,928.0,1179.0,1232.0,2885.0,2853.0,2834.0,2990.0,235,275,19338,G
940.0,977.0,1271.0,1305.0,3064.0,3030.0,2993.0,3166.0,227,387,24510,G
970.0,1007.0,1327.0,1358.0,3178.0,3145.0,3104.0,3278.0,211,267,19544,G
1010.0,1048.0,1391.0,1433.0,3338.0,3317.0,3270.0,3434.0,243,371,22483,G
