@relation caracteristicas

@attribute cima numeric
@attribute baixo numeric
@attribute esquerda numeric
@attribute direita numeric
@attribute DES numeric
@attribute DEI numeric
@attribute DDS numeric
@attribute DDI numeric
@attribute class {A, B, C, D, E}

@data
155.0,154.0,197.0,215.0,346.0,315.0,351.0,369.0,C
188.0,186.0,198.0,188.0,377.0,358.0,351.0,392.0,C
152.0,165.0,167.0,188.0,330.0,321.0,323.0,308.0,C
163.0,177.0,184.0,211.0,336.0,327.0,362.0,377.0,C
207.0,217.0,277.0,253.0,475.0,441.0,481.0,481.0,C
129.0,153.0,182.0,177.0,311.0,303.0,299.0,302.0,C
127.0,111.0,135.0,131.0,251.0,243.0,218.0,241.0,C
139.0,127.0,133.0,145.0,267.0,255.0,262.0,274.0,C
165.0,176.0,226.0,225.0,407.0,398.0,399.0,412.0,C
143.0,143.0,210.0,206.0,332.0,344.0,345.0,341.0,C
135.0,107.0,133.0,128.0,244.0,249.0,237.0,233.0,C
158.0,150.0,186.0,176.0,313.0,308.0,306.0,317.0,C
128.0,129.0,122.0,119.0,237.0,234.0,222.0,232.0,C
123.0,117.0,133.0,137.0,254.0,250.0,254.0,263.0,C
151.0,150.0,183.0,170.0,314.0,307.0,307.0,309.0,C
135.0,133.0,192.0,185.0,311.0,311.0,297.0,311.0,C
116.0,112.0,164.0,170.0,263.0,280.0,262.0,286.0,C
114.0,119.0,131.0,138.0,261.0,249.0,242.0,245.0,C
140.0,139.0,188.0,186.0,303.0,316.0,291.0,313.0,C
104.0,111.0,111.0,119.0,214.0,213.0,219.0,219.0,C
143.0,140.0,172.0,163.0,301.0,301.0,290.0,303.0,C
126.0,138.0,173.0,170.0,272.0,285.0,276.0,285.0,C
132.0,117.0,159.0,153.0,283.0,276.0,270.0,280.0,C
148.0,160.0,178.0,173.0,318.0,319.0,326.0,316.0,C
189.0,195.0,226.0,231.0,388.0,396.0,383.0,406.0,C
122.0,131.0,139.0,159.0,282.0,278.0,280.0,299.0,C
129.0,149.0,181.0,154.0,284.0,301.0,272.0,282.0,C
102.0,100.0,131.0,133.0,215.0,230.0,235.0,239.0,C
120.0,150.0,156.0,161.0,284.0,275.0,283.0,291.0,C
153.0,153.0,150.0,181.0,282.0,313.0,298.0,327.0,C
152.0,144.0,176.0,211.0,313.0,313.0,355.0,349.0,C
145.0,141.0,165.0,190.0,291.0,277.0,302.0,335.0,C
174.0,177.0,204.0,215.0,371.0,379.0,387.0,400.0,C
166.0,168.0,196.0,200.0,324.0,337.0,333.0,380.0,C
144.0,161.0,179.0,198.0,287.0,299.0,340.0,336.0,C
152.0,143.0,176.0,192.0,315.0,329.0,324.0,357.0,C
128.0,123.0,141.0,156.0,247.0,261.0,273.0,287.0,C
118.0,116.0,129.0,139.0,227.0,221.0,240.0,247.0,C
137.0,135.0,164.0,173.0,257.0,281.0,292.0,302.0,C
157.0,149.0,157.0,183.0,291.0,296.0,316.0,313.0,C
120.0,117.0,120.0,116.0,229.0,226.0,217.0,223.0,C
140.0,143.0,147.0,165.0,290.0,284.0,278.0,283.0,C
121.0,127.0,132.0,155.0,273.0,252.0,268.0,259.0,C
107.0,109.0,132.0,144.0,217.0,242.0,241.0,234.0,C
143.0,153.0,186.0,202.0,310.0,304.0,321.0,332.0,C
125.0,134.0,159.0,170.0,258.0,300.0,286.0,280.0,C
134.0,147.0,154.0,186.0,294.0,289.0,303.0,297.0,C
110.0,111.0,140.0,161.0,247.0,260.0,250.0,251.0,C
96.0,104.0,117.0,110.0,235.0,209.0,230.0,212.0,C
114.0,129.0,140.0,165.0,252.0,237.0,250.0,272.0,C
148.0,172.0,176.0,173.0,306.0,305.0,318.0,342.0,C
138.0,145.0,163.0,188.0,303.0,289.0,314.0,328.0,C
100.0,108.0,118.0,137.0,233.0,240.0,228.0,232.0,C
108.0,119.0,141.0,149.0,242.0,269.0,252.0,262.0,C
125.0,122.0,150.0,152.0,255.0,272.0,248.0,261.0,C
121.0,118.0,136.0,142.0,255.0,247.0,238.0,244.0,C
113.0,118.0,154.0,146.0,262.0,255.0,260.0,247.0,C
94.0,91.0,107.0,106.0,178.0,190.0,187.0,186.0,C
128.0,134.0,163.0,170.0,282.0,284.0,285.0,290.0,C
104.0,115.0,142.0,147.0,229.0,228.0,234.0,239.0,C
121.0,123.0,141.0,151.0,244.0,253.0,255.0,271.0,C
146.0,158.0,172.0,186.0,296.0,283.0,304.0,311.0,C
127.0,121.0,151.0,139.0,242.0,251.0,254.0,250.0,C
