@relation caracteristicas

@attribute cima numeric
@attribute baixo numeric
@attribute esquerda numeric
@attribute direita numeric
@attribute DES numeric
@attribute DEI numeric
@attribute DDS numeric
@attribute DDI numeric
@attribute altura numeric
@attribute largura numeric
@attribute convex numeric
@attribute class {A, B, C, D, E, F, G}

@data
61.0,65.0,81.0,85.0,122.0,120.0,113.0,117.0,157,269,12659,A
169.0,166.0,176.0,178.0,295.0,271.0,268.0,279.0,213,325,16631,A
284.0,286.0,302.0,296.0,498.0,453.0,453.0,474.0,237,373,21799,A
344.0,355.0,379.0,383.0,615.0,568.0,581.0,607.0,165,301,13043,A
408.0,432.0,466.0,482.0,739.0,707.0,700.0,750.0,189,306,13515,A
476.0,497.0,547.0,575.0,865.0,818.0,817.0,875.0,173,301,15664,A
559.0,579.0,653.0,671.0,1025.0,951.0,956.0,1042.0,221,333,11595,A
634.0,654.0,749.0,772.0,1165.0,1060.0,1089.0,1184.0,197,333,16528,A
691.0,710.0,829.0,856.0,1287.0,1178.0,1201.0,1306.0,181,285,19348,A
760.0,785.0,911.0,948.0,1427.0,1296.0,1323.0,1449.0,189,317,11766,A
854.0,878.0,1013.0,1052.0,1597.0,1435.0,1467.0,1605.0,189,357,17449,A
931.0,945.0,1078.0,1114.0,1710.0,1542.0,1570.0,1722.0,189,221,13411,A
986.0,993.0,1141.0,1173.0,1807.0,1632.0,1659.0,1805.0,157,205,6513,A
1063.0,1059.0,1241.0,1269.0,1958.0,1757.0,1794.0,1944.0,166,309,14575,A
1151.0,1144.0,1359.0,1383.0,2122.0,1900.0,1953.0,2101.0,197,421,24021,A
1214.0,1213.0,1439.0,1444.0,2234.0,2007.0,2056.0,2206.0,157,229,8559,A
1279.0,1273.0,1511.0,1526.0,2345.0,2106.0,2165.0,2309.0,157,237,11635,A
1346.0,1341.0,1589.0,1599.0,2453.0,2231.0,2268.0,2417.0,157,253,12432,A
1402.0,1398.0,1671.0,1678.0,2566.0,2340.0,2374.0,2521.0,157,245,13676,A
1461.0,1458.0,1752.0,1756.0,2668.0,2444.0,2472.0,2630.0,157,253,14591,A
1527.0,1518.0,1833.0,1829.0,2774.0,2556.0,2580.0,2745.0,149,237,12674,A
1593.0,1570.0,1909.0,1906.0,2890.0,2676.0,2689.0,2858.0,149,237,12320,A
1650.0,1624.0,1980.0,1983.0,2984.0,2776.0,2793.0,2970.0,141,229,12429,A
1707.0,1678.0,2054.0,2043.0,3080.0,2863.0,2888.0,3062.0,141,205,11842,A
